,MPG,Cylinders,Displacement,horsepower,Weight,Acceleration,Model_Year,Origin,Car Name
111,12.0,8,400.0,167.0,4906,12.5,73,1,ford country
57,28.0,4,116.0,90.0,2123,14.0,71,2,opel 1900
254,39.4,4,85.0,70.0,2070,18.6,78,3,datsun b210 gx
279,23.8,4,151.0,85.0,2855,17.6,78,1,oldsmobile starfire sx
177,23.0,4,140.0,78.0,2592,18.5,75,1,pontiac astro
73,17.0,8,304.0,150.0,3672,11.5,72,1,amc ambassador sst
29,26.0,4,121.0,113.0,2234,12.5,70,2,bmw 2002
247,30.5,4,97.0,78.0,2190,14.1,77,2,volkswagen dasher
36,28.0,4,140.0,90.0,2264,15.5,71,1,chevrolet vega 2300
209,17.5,6,258.0,95.0,3193,17.8,76,1,amc pacer d/l
240,29.0,4,97.0,78.0,1940,14.5,77,2,volkswagen rabbit custom
42,17.0,6,250.0,100.0,3329,15.5,71,1,chevrolet chevelle malibu
101,13.0,8,440.0,215.0,4735,11.0,73,1,chrysler new yorker brougham
296,16.9,8,350.0,155.0,4360,14.9,79,1,buick estate wagon (sw)
162,15.0,6,250.0,72.0,3158,19.5,75,1,ford maverick
331,40.8,4,85.0,65.0,2110,19.2,80,3,datsun 210
396,26.0,4,156.0,92.0,2585,14.5,82,1,chrysler lebaron medallion
210,29.5,4,97.0,71.0,1825,12.2,76,2,volkswagen rabbit
41,16.0,6,225.0,105.0,3439,15.5,71,1,plymouth satellite custom
403,32.0,4,135.0,84.0,2295,11.6,82,1,dodge rampage
316,41.5,4,98.0,76.0,2144,14.7,80,2,vw rabbit
91,27.0,4,97.0,88.0,2100,16.5,72,3,toyota corolla 1600 (sw)
306,27.2,4,141.0,71.0,3190,24.8,79,2,peugeot 504
384,37.0,4,91.0,68.0,2025,18.2,82,3,mazda glc custom l
175,23.0,4,140.0,83.0,2639,17.0,75,1,ford pinto
153,28.0,4,90.0,75.0,2125,14.5,74,1,dodge colt
392,32.0,4,91.0,67.0,1965,15.7,82,3,honda civic (auto)
26,25.0,4,110.0,87.0,2672,17.5,70,2,peugeot 504
144,13.0,8,350.0,150.0,4699,14.5,74,1,buick century luxus (sw)
128,15.0,8,318.0,150.0,3399,11.0,73,1,dodge dart custom
107,18.0,6,250.0,88.0,3021,16.5,73,1,ford maverick
97,12.0,8,429.0,198.0,4952,11.5,73,1,mercury marquis brougham
82,14.0,8,318.0,150.0,4077,14.0,72,1,plymouth satellite custom (sw)
113,12.0,8,350.0,180.0,4499,12.5,73,1,oldsmobile vista cruiser
55,18.0,6,250.0,88.0,3139,14.5,71,1,ford mustang
395,38.0,6,262.0,85.0,3015,17.0,82,1,oldsmobile cutlass ciera (diesel)
354,37.0,4,85.0,65.0,1975,19.4,81,3,datsun 210 mpg
243,25.5,4,140.0,89.0,2755,15.8,77,1,ford mustang ii 2+2
94,13.0,8,350.0,145.0,3988,13.0,73,1,chevrolet malibu
159,19.0,6,225.0,95.0,3264,16.0,75,1,plymouth valiant custom
139,25.0,4,140.0,75.0,2542,17.0,74,1,chevrolet vega
147,14.0,8,304.0,150.0,4257,15.5,74,1,amc matador (sw)
117,22.0,4,108.0,94.0,2379,16.5,73,3,datsun 610
346,26.6,4,151.0,84.0,2635,16.4,81,1,buick skylark
152,32.0,4,83.0,61.0,2003,19.0,74,3,datsun 710
44,18.0,6,232.0,100.0,3288,15.5,71,1,amc matador
383,36.0,4,105.0,74.0,1980,15.3,82,2,volkswagen rabbit l
256,19.9,8,260.0,110.0,3365,15.5,78,1,oldsmobile cutlass salon brougham
208,18.5,6,250.0,110.0,3645,16.2,76,1,pontiac ventura sj
333,43.4,4,90.0,48.0,2335,23.7,80,2,vw dasher (diesel)
86,26.0,4,96.0,69.0,2189,18.0,72,2,renault 12 (sw)
315,33.5,4,151.0,90.0,2556,13.2,79,1,pontiac phoenix
34,9.0,8,304.0,193.0,4732,18.5,70,1,hi 1200d
119,19.0,4,122.0,85.0,2310,18.5,73,1,ford pinto
140,16.0,6,250.0,100.0,3781,17.0,74,1,chevrolet chevelle malibu classic
155,26.0,4,116.0,75.0,2246,14.0,74,2,fiat 124 tc
351,39.0,4,86.0,64.0,1875,16.4,81,1,plymouth champ
220,13.0,8,350.0,145.0,4055,12.0,76,1,chevy c10
359,29.9,4,98.0,65.0,2380,20.7,81,1,ford escort 2h
298,19.2,8,267.0,125.0,3605,15.0,79,1,chevrolet malibu classic (sw)
76,12.0,8,350.0,160.0,4456,13.5,72,1,oldsmobile delta 88 royale
273,30.0,4,98.0,68.0,2155,16.5,78,1,chevrolet chevette
295,18.2,8,318.0,135.0,3830,15.2,79,1,dodge st. regis
286,29.5,4,98.0,68.0,2135,16.6,78,3,honda accord lx
19,14.0,8,455.0,225.0,3086,10.0,70,1,buick estate wagon (sw)
37,25.0,4,113.0,95.0,2228,14.0,71,3,toyota corona
214,20.0,4,130.0,102.0,3150,15.7,76,2,volvo 245
92,13.0,8,350.0,175.0,4100,13.0,73,1,buick century 350
188,33.0,4,91.0,53.0,1795,17.5,75,3,honda civic cvcc
130,20.0,6,156.0,122.0,2807,13.5,73,3,toyota mark ii
292,17.0,8,305.0,130.0,3840,15.4,79,1,chevrolet caprice classic
393,38.0,4,91.0,67.0,1995,16.2,82,3,datsun 310 gx
297,15.5,8,351.0,142.0,4054,14.3,79,1,ford country squire (sw)
165,16.0,8,318.0,150.0,4498,14.5,75,1,plymouth grand fury
302,35.7,4,98.0,80.0,1915,14.4,79,1,dodge colt hatchback custom
70,14.0,8,400.0,175.0,4385,12.0,72,1,pontiac catalina
116,21.0,4,140.0,72.0,2401,19.5,73,1,chevrolet vega
290,20.2,6,232.0,90.0,3265,18.2,79,1,amc concord dl 6
257,19.4,8,318.0,140.0,3735,13.2,78,1,dodge diplomat
378,31.0,4,112.0,85.0,2575,16.2,82,1,pontiac j2000 se hatchback
272,17.5,8,318.0,140.0,4080,13.7,78,1,dodge magnum xe
187,25.0,4,121.0,115.0,2671,13.5,75,2,saab 99le
402,44.0,4,97.0,52.0,2130,24.6,82,2,vw pickup
234,19.0,6,225.0,100.0,3630,17.7,77,1,plymouth volare custom
134,19.0,6,232.0,100.0,2901,16.0,74,1,amc hornet
328,32.2,4,108.0,75.0,2265,15.2,80,3,toyota corolla
232,17.5,6,250.0,110.0,3520,16.4,77,1,chevrolet concours
360,33.0,4,105.0,74.0,2190,14.2,81,2,volkswagen jetta
301,34.1,4,86.0,65.0,1975,15.2,79,3,maxda glc deluxe
146,14.0,8,302.0,140.0,4638,16.0,74,1,ford gran torino (sw)
217,19.0,6,156.0,108.0,2930,15.5,76,3,toyota mark ii
329,46.6,4,86.0,65.0,2110,17.9,80,3,mazda glc
245,33.5,4,98.0,83.0,2075,15.9,77,1,dodge colt m/m
352,35.1,4,81.0,60.0,1760,16.1,81,3,honda civic 1300
138,32.0,4,71.0,65.0,1836,21.0,74,3,toyota corolla 1200
63,26.0,4,91.0,70.0,1955,20.5,71,1,plymouth cricket
43,19.0,6,250.0,88.0,3302,15.5,71,1,ford torino 500
239,16.0,8,351.0,149.0,4335,14.5,77,1,ford thunderbird
93,14.0,8,304.0,150.0,3672,11.5,73,1,amc matador
16,14.0,8,340.0,160.0,3609,8.0,70,1,plymouth 'cuda 340
7,14.0,8,440.0,215.0,4312,8.5,70,1,plymouth fury iii
260,20.5,6,200.0,95.0,3155,18.2,78,1,chevrolet malibu
211,32.0,4,85.0,70.0,1990,17.0,76,3,datsun b-210
259,19.2,6,231.0,105.0,3535,19.2,78,1,pontiac phoenix lj
103,13.0,8,360.0,175.0,3821,11.0,73,1,amc ambassador brougham
241,24.5,4,151.0,88.0,2740,16.0,77,1,pontiac sunbird coupe
398,32.0,4,144.0,96.0,2665,13.9,82,3,toyota celica gt
216,19.0,4,120.0,88.0,3270,21.9,76,2,peugeot 504
194,17.5,8,305.0,140.0,4215,13.0,76,1,chevrolet chevelle malibu classic
248,22.0,6,146.0,97.0,2815,14.5,77,3,datsun 810
154,24.0,4,90.0,75.0,2108,15.5,74,2,fiat 128
385,31.0,4,91.0,68.0,1970,17.6,82,3,mazda glc custom
110,11.0,8,400.0,150.0,4997,14.0,73,1,chevrolet impala
129,24.0,4,121.0,110.0,2660,14.0,73,2,saab 99le
255,36.1,4,91.0,60.0,1800,16.4,78,3,honda civic cvcc
271,18.1,8,302.0,139.0,3205,11.2,78,1,ford futura
197,14.5,8,351.0,152.0,4215,12.8,76,1,ford gran torino
207,18.0,6,250.0,78.0,3574,21.0,76,1,ford granada ghia
345,27.2,4,135.0,84.0,2490,15.7,81,1,plymouth reliant
65,25.0,4,97.5,80.0,2126,17.0,72,1,dodge colt hardtop
31,10.0,8,360.0,215.0,4615,14.0,70,1,ford f250
258,20.2,8,302.0,139.0,3570,12.8,78,1,mercury monarch ghia
102,12.0,8,455.0,225.0,4951,11.0,73,1,buick electra 225 custom
246,30.0,4,97.0,67.0,1985,16.4,77,3,subaru dl
72,14.0,8,351.0,153.0,4129,13.0,72,1,ford galaxie 500
